log2FoldChange,pvalue,padj,LLgeneAbbrev
0.044169771,0.757232018,0.973716693,chchd2
0.194651759,0.757320189,0.973716693,XLOC_036573
-0.075560332,0.757375717,0.973716693,rhot2
-0.037866904,0.757444325,0.973716693,zfyve9a
-0.047774629,0.757451059,0.973716693,mrpl42
0.03812461,0.757455869,0.973716693,nfil3
-0.048661526,0.757465783,0.973716693,sdc2
-0.036718645,0.757474167,0.973716693,mapkapk5
0.045741521,0.757550128,0.973716693,si:zfos-1192g2.3
0.176021468,0.75755641,0.973716693,CU468723.1
-0.331665726,0.757592214,0.973716693,RF00377
-0.161888027,0.757617755,0.973716693,zgc:64002
-0.301665159,0.757682924,0.973716693,gck
0.041725743,0.757694729,0.973716693,tsku
0.061342031,0.757860081,0.973879678,psme4a
0.149649965,0.757899142,0.973880363,si:ch211-217i17.1
0.163890785,0.758089574,0.974075547,AL954145.2
0.038471046,0.758194535,0.974129498,ube2nb
0.277623809,0.758208635,0.974129498,LO018208.1
0.045233684,0.758264152,0.974137055,nuak1a
0.048098562,0.758324842,0.974137055,tmem170a
-0.0964104,0.758373015,0.974137055,XLOC_043245
0.18646109,0.75838743,0.974137055,znf1118
-0.053641355,0.758408763,0.974137055,CABZ01090373.1
0.202397696,0.758468848,0.974137055,trpc6b
-0.032739831,0.758484276,0.974137055,CABZ01078320.1
-0.061731467,0.758620712,0.974211878,si:ch211-122f10.4
-0.04172253,0.758677653,0.974211878,filip1l
0.121545499,0.758693198,0.974211878,lcat
0.054224067,0.75877881,0.974211878,XLOC_042595
0.119843569,0.758779174,0.974211878,XLOC_019725
-0.042277355,0.758856643,0.974211878,prph
-0.075986959,0.758865138,0.974211878,FP017161.1
0.073350511,0.758904543,0.974211878,zgc:153760
-0.068131901,0.75892349,0.974211878,vtnb
0.040738518,0.75896062,0.974211878,ctnna1
-0.253777232,0.759005126,0.974211878,BX001014.2
-0.344256932,0.759055923,0.974211878,CT573263.1
0.041349089,0.759080212,0.974211878,kbtbd11
-0.05819711,0.759091316,0.974211878,swap70a
0.066217272,0.759158401,0.974211878,znhit3
0.040081804,0.759159173,0.974211878,mdka
0.051399945,0.75922663,0.974224727,msnb
-0.28712993,0.759292786,0.974224727,AL954137.2
-0.036169762,0.759327161,0.974224727,nrip1b
0.092252702,0.759359466,0.974224727,trpc3
-0.304772118,0.759375784,0.974224727,XLOC_043659
-0.02816339,0.759456837,0.974224727,si:dkeyp-69b9.6
0.039615108,0.759498258,0.974224727,smarcd1
-0.053953621,0.759534469,0.974224727,tmem150c
-0.057149674,0.75957784,0.974224727,smim20
-0.046463936,0.75959042,0.974224727,clptm1
-0.149869301,0.759601149,0.974224727,zmp:0000000845
-0.051503271,0.759670986,0.974224727,rab3c
0.040485452,0.759783782,0.974224727,erc2
0.389671799,0.759785489,0.974224727,adad1
0.068505176,0.759790417,0.974224727,rps6ka3b
